OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
10248,VINET,5,04-07-2016,01-08-2016,16-07-2016,3,16.75,Vins et alcools Chevalier,59 rue de l-Abbaye,Reims,Western Europe,51100,France
10249,TOMSP,6,05-07-2016,16-08-2016,10-07-2016,1,22.25,Toms Spezialitäten,Luisenstr. 48,Münster,Western Europe,44087,Germany
10250,HANAR,4,08-07-2016,05-08-2016,12-07-2016,2,25,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,South America,05454-876,Brazil
10251,VICTE,3,08-07-2016,05-08-2016,15-07-2016,1,20.25,Victuailles en stock,"2, rue du Commerce",Lyon,Western Europe,69004,France
10252,SUPRD,4,09-07-2016,06-08-2016,11-07-2016,2,36.25,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Western Europe,B-6000,Belgium
10253,HANAR,3,10-07-2016,24-07-2016,16-07-2016,2,35.5,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,South America,05454-876,Brazil
10254,CHOPS,5,11-07-2016,08-08-2016,23-07-2016,2,24.25,Chop-suey Chinese,Hauptstr. 31,Bern,Western Europe,3012,Switzerland
10255,RICSU,9,12-07-2016,09-08-2016,15-07-2016,3,37.5,Richter Supermarkt,Starenweg 5,Genève,Western Europe,1204,Switzerland
10256,WELLI,3,15-07-2016,12-08-2016,17-07-2016,2,16.75,Wellington Importadora,"Rua do Mercado, 12",Resende,South America,08737-363,Brazil
10257,HILAA,4,16-07-2016,13-08-2016,22-07-2016,3,21.5,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,South America,5022,Venezuela
10258,ERNSH,1,17-07-2016,14-08-2016,23-07-2016,1,40.25,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
10259,CENTC,4,18-07-2016,15-08-2016,25-07-2016,3,12.75,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,Central America,5022,Mexico
10260,OTTIK,4,19-07-2016,16-08-2016,29-07-2016,1,35.5,Ottilies Käseladen,Mehrheimerstr. 369,Köln,Western Europe,50739,Germany
10261,QUEDE,4,19-07-2016,16-08-2016,30-07-2016,2,20,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,02389-673,Brazil
10262,RATTC,8,22-07-2016,19-08-2016,25-07-2016,3,17.25,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
10263,ERNSH,9,23-07-2016,20-08-2016,31-07-2016,3,56,Ernst Handel,Kirchgasse 6,Graz,Western Europe,8010,Austria
10264,FOLKO,6,24-07-2016,21-08-2016,23-08-2016,3,25,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden
10265,BLONP,2,25-07-2016,22-08-2016,12-08-2016,1,22.5,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France
10266,WARTH,3,26-07-2016,06-09-2016,31-07-2016,3,13,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland
10267,FRANK,4,29-07-2016,26-08-2016,06-08-2016,1,43.75,Frankenversand,Berliner Platz 43,München,Western Europe,80805,Germany
10268,GROSR,8,30-07-2016,27-08-2016,02-08-2016,3,13.5,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,South America,1081,Venezuela
10269,WHITC,5,31-07-2016,14-08-2016,09-08-2016,1,30,White Clover Markets,1029 - 12th Ave. S.,Seattle,North America,98124,USA
10270,WARTH,1,01-08-2016,29-08-2016,02-08-2016,1,23.75,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland
10271,SPLIR,6,01-08-2016,29-08-2016,30-08-2016,2,16,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,82520,USA
10272,RATTC,6,02-08-2016,30-08-2016,06-08-2016,2,27.5,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
10273,QUICK,3,05-08-2016,02-09-2016,12-08-2016,3,48,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,1307,Germany
10274,VINET,6,06-08-2016,03-09-2016,16-08-2016,1,16.75,Vins et alcools Chevalier,59 rue de l-Abbaye,Reims,Western Europe,51100,France
10275,MAGAA,1,07-08-2016,04-09-2016,09-08-2016,1,14.5,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Southern Europe,24100,Italy
10276,TORTU,8,08-08-2016,22-08-2016,14-08-2016,3,16.25,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,5033,Mexico
10277,MORGK,2,09-08-2016,06-09-2016,13-08-2016,3,18,Morgenstern Gesundkost,Heerstr. 22,Leipzig,Western Europe,4179,Germany
10278,BERGS,8,12-08-2016,09-09-2016,16-08-2016,2,26,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden
10279,LEHMS,8,13-08-2016,10-09-2016,16-08-2016,2,13.75,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany
10280,BERGS,2,14-08-2016,11-09-2016,12-09-2016,1,25.5,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden
10281,ROMEY,4,14-08-2016,28-08-2016,21-08-2016,1,12.75,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain
10282,ROMEY,4,15-08-2016,12-09-2016,21-08-2016,1,12,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain
10283,LILAS,3,16-08-2016,13-09-2016,23-08-2016,3,29,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela
10284,LEHMS,4,19-08-2016,16-09-2016,27-08-2016,1,25.25,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,60528,Germany
10285,QUICK,1,20-08-2016,17-09-2016,26-08-2016,2,40.25,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,1307,Germany
10286,QUICK,8,21-08-2016,18-09-2016,30-08-2016,3,45,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,1307,Germany
10287,RICAR,8,22-08-2016,19-09-2016,28-08-2016,3,28.75,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,South America,02389-890,Brazil
10288,REGGC,4,23-08-2016,20-09-2016,03-09-2016,1,13.25,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,Southern Europe,42100,Italy
10289,BSBEV,7,26-08-2016,23-09-2016,28-08-2016,3,19.75,B-s Beverages,Fauntleroy Circus,London,British Isles,EC2 5NT,UK
10290,COMMI,8,27-08-2016,24-09-2016,03-09-2016,1,25,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,South America,05432-043,Brazil
10291,QUEDE,6,27-08-2016,24-09-2016,04-09-2016,2,21.5,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,02389-673,Brazil
10292,TRADH,1,28-08-2016,25-09-2016,02-09-2016,2,15,Tradiçao Hipermercados,"Av. Inês de Castro, 414",Sao Paulo,South America,05634-030,Brazil
10293,TORTU,1,29-08-2016,26-09-2016,11-09-2016,3,18.25,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,5033,Mexico
10294,RATTC,4,30-08-2016,27-09-2016,05-09-2016,2,28.75,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
10295,VINET,2,02-09-2016,30-09-2016,10-09-2016,2,11,Vins et alcools Chevalier,59 rue de l-Abbaye,Reims,Western Europe,51100,France
10296,LILAS,6,03-09-2016,01-10-2016,11-09-2016,1,24.25,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,3508,Venezuela
10297,BLONP,5,04-09-2016,16-10-2016,10-09-2016,2,30,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,67000,France
10298,HUNGO,6,05-09-2016,03-10-2016,11-09-2016,2,41.25,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland
10299,RICAR,4,06-09-2016,04-10-2016,13-09-2016,2,18.75,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,South America,02389-890,Brazil
10300,MAGAA,2,09-09-2016,07-10-2016,18-09-2016,2,22.5,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Southern Europe,24100,Italy
10301,WANDK,8,09-09-2016,07-10-2016,17-09-2016,2,17.5,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Western Europe,70563,Germany
10302,SUPRD,4,10-09-2016,08-10-2016,09-10-2016,2,30,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Western Europe,B-6000,Belgium
10303,GODOS,7,11-09-2016,09-10-2016,18-09-2016,2,31.25,Godos Cocina Típica,"C/ Romero, 33",Sevilla,Southern Europe,41101,Spain
10304,TORTU,1,12-09-2016,10-10-2016,17-09-2016,2,20.5,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,5033,Mexico
10305,OLDWO,8,13-09-2016,11-10-2016,09-10-2016,3,30,Old World Delicatessen,2743 Bering St.,Anchorage,North America,99508,USA
10306,ROMEY,1,16-09-2016,14-10-2016,23-09-2016,3,16.25,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,28001,Spain
10307,LONEP,2,17-09-2016,15-10-2016,25-09-2016,2,13.25,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,North America,97219,USA
10308,ANATR,7,18-09-2016,16-10-2016,24-09-2016,3,11.5,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,Central America,5021,Mexico
10309,HUNGO,3,19-09-2016,17-10-2016,23-10-2016,1,28.75,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,British Isles,,Ireland
10310,THEBI,8,20-09-2016,18-10-2016,27-09-2016,2,13.75,The Big Cheese,89 Jefferson Way Suite 2,Portland,North America,97201,USA
10311,DUMON,1,20-09-2016,04-10-2016,26-09-2016,3,13.25,Du monde entier,"67, rue des Cinquante Otages",Nantes,Western Europe,44000,France
10312,WANDK,2,23-09-2016,21-10-2016,03-10-2016,2,24.5,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Western Europe,70563,Germany
10313,QUICK,2,24-09-2016,22-10-2016,04-10-2016,2,13,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,1307,Germany
10314,RATTC,1,25-09-2016,23-10-2016,04-10-2016,2,33.75,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
10315,ISLAT,4,26-09-2016,24-10-2016,03-10-2016,2,21,Island Trading,Garden House Crowther Way,Cowes,British Isles,PO31 7PJ,UK
10316,RATTC,1,27-09-2016,25-10-2016,08-10-2016,3,30,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,North America,87110,USA
10317,LONEP,6,30-09-2016,28-10-2016,10-10-2016,1,15,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,North America,97219,USA
10318,ISLAT,8,01-10-2016,29-10-2016,04-10-2016,2,16.5,Island Trading,Garden House Crowther Way,Cowes,British Isles,PO31 7PJ,UK
10319,TORTU,7,02-10-2016,30-10-2016,11-10-2016,3,23,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,5033,Mexico
10320,WARTH,5,03-10-2016,17-10-2016,18-10-2016,3,17.5,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,90110,Finland
10321,ISLAT,3,03-10-2016,31-10-2016,11-10-2016,2,12.5,Island Trading,Garden House Crowther Way,Cowes,British Isles,PO31 7PJ,UK
